image,layer,H_mean,H_std,abs_grad_H_mean,abs_laplacian_H_mean,dH_mean,dH_std
synth_checker,6,1.2201777696609497,0.477128803730011,0.26291146874427795,0.8769521117210388,-0.13531404733657837,0.3142143189907074
synth_checker,7,1.158744215965271,0.5979400277137756,0.33176112174987793,1.1406559944152832,-0.06143326684832573,0.1510971486568451
synth_checker,8,1.1409263610839844,0.602806806564331,0.3394293189048767,1.1902838945388794,-0.01781810261309147,0.016708141192793846
synth_checker,9,1.1177862882614136,0.5793913006782532,0.332504004240036,1.1468682289123535,-0.023140059784054756,0.03360862657427788
synth_checker,10,1.075183629989624,0.5442720651626587,0.3385935127735138,1.10014808177948,-0.04260258749127388,0.06718644499778748
synth_checker,11,1.0880178213119507,0.5073672533035278,0.33011284470558167,1.0352524518966675,0.012834138236939907,0.05786855146288872
synth_checker,12,1.1901100873947144,0.4897007346153259,0.30874547362327576,0.9647331833839417,0.10209234058856964,0.057712387293577194
synth_gabor,1,1.431057095527649,0.011398032307624817,0.011480141431093216,0.038362886756658554,0.0,0.0
synth_gabor,2,1.4402273893356323,0.011857093311846256,0.00942925177514553,0.04470119625329971,0.009170536883175373,0.013484993949532509
synth_gabor,3,1.445916771888733,0.00996228028088808,0.008381135761737823,0.028195912018418312,0.00568936113268137,0.0118403984233737
synth_gabor,4,1.4346948862075806,0.014496710151433945,0.010541879571974277,0.039697032421827316,-0.011222131550312042,0.015097418799996376
synth_gabor,5,1.3814411163330078,0.19078262150287628,0.09063795953989029,0.39589017629623413,-0.05325361341238022,0.18125751614570618
synth_gabor,6,1.3067165613174438,0.4496913552284241,0.21184875071048737,0.9873334169387817,-0.07472454756498337,0.2757050096988678
synth_gabor,7,1.2862030267715454,0.5027586817741394,0.23778024315834045,1.1167240142822266,-0.020513486117124557,0.06551796942949295
synth_gabor,8,1.2779768705368042,0.5097600221633911,0.2393312305212021,1.1161112785339355,-0.00822623260319233,0.014637854881584644
synth_gabor,9,1.2810704708099365,0.5016533136367798,0.2359475940465927,1.1006807088851929,0.003093771170824766,0.014367160387337208
synth_gabor,10,1.2828205823898315,0.4879330098628998,0.23162294924259186,1.0729237794876099,0.0017500350950285792,0.019452352076768875
synth_gabor,11,1.3039017915725708,0.4627803862094879,0.22540438175201416,1.0227469205856323,0.02108113467693329,0.02975061908364296
synth_gabor,12,1.3238011598587036,0.4013698697090149,0.19048406183719635,0.8789421916007996,0.01989937759935856,0.06771814823150635
synth_gradient,1,1.2167329788208008,0.02468588389456272,0.01682235114276409,0.03145973011851311,0.0,0.0
synth_gradient,2,1.318253755569458,0.025726862251758575,0.01567358896136284,0.028856240212917328,0.10152063518762589,0.025007808580994606
synth_gradient,3,1.4044734239578247,0.01247913483530283,0.007543756626546383,0.016222940757870674,0.08621980994939804,0.024321675300598145
synth_gradient,4,1.4121476411819458,0.031792812049388885,0.020580507814884186,0.06577013432979584,0.007674164138734341,0.033196765929460526
synth_gradient,5,1.3652129173278809,0.19796551764011383,0.10149765759706497,0.3777438700199127,-0.04693472012877464,0.16817334294319153
synth_gradient,6,1.2690942287445068,0.48714688420295715,0.2547699213027954,0.9951649904251099,-0.09611880034208298,0.3070085942745209
synth_gradient,7,1.2400732040405273,0.5604487657546997,0.293758362531662,1.1566991806030273,-0.02902105450630188,0.08635548502206802
synth_gradient,8,1.2332087755203247,0.566265881061554,0.29785609245300293,1.1694453954696655,-0.006864356342703104,0.012839866802096367
synth_gradient,9,1.2326669692993164,0.5530257821083069,0.294746994972229,1.1476991176605225,-0.000541836314368993,0.02030349336564541
synth_gradient,10,1.221267819404602,0.5330936312675476,0.30668753385543823,1.1389946937561035,-0.01139907818287611,0.048712242394685745
synth_gradient,11,1.2148420810699463,0.49743279814720154,0.30532529950141907,1.0911706686019897,-0.006425842177122831,0.059494685381650925
synth_gradient,12,1.2741278409957886,0.43068936467170715,0.2329207807779312,0.8926323652267456,0.05928581580519676,0.10798905044794083
synth_texture_split,1,1.3120715618133545,0.12729348242282867,0.032208994030952454,0.0639675185084343,0.0,0.0
synth_texture_split,2,1.3601130247116089,0.07831554859876633,0.022991087287664413,0.041796714067459106,0.04804152995347977,0.056659240275621414
synth_texture_split,3,1.4191862344741821,0.021195700392127037,0.010420361533761024,0.027831627056002617,0.05907343327999115,0.060675837099552155
synth_texture_split,4,1.434243083000183,0.022440990433096886,0.013587108813226223,0.04504844918847084,0.015056776814162731,0.030573925003409386
synth_texture_split,5,1.3898897171020508,0.1811739057302475,0.08721458911895752,0.2868359088897705,-0.044353291392326355,0.1640561819076538
synth_texture_split,6,1.2828419208526611,0.4762863218784332,0.2462894320487976,0.7714084982872009,-0.10704775899648666,0.3219437301158905
synth_texture_split,7,1.2593883275985718,0.5404677987098694,0.27942052483558655,0.8795374035835266,-0.02345365099608898,0.07523060590028763
synth_texture_split,8,1.2562259435653687,0.5533822774887085,0.2856529951095581,0.8992718458175659,-0.0031624508555978537,0.01574758253991604
synth_texture_split,9,1.253556251525879,0.5470327734947205,0.2825944125652313,0.8883938193321228,-0.0026697320863604546,0.016373274847865105
synth_texture_split,10,1.2558114528656006,0.5323264598846436,0.2780788242816925,0.8776858448982239,0.002255298662930727,0.02622576244175434
synth_texture_split,11,1.273887276649475,0.50037682056427,0.2662571966648102,0.8399052619934082,0.01807575114071369,0.037547215819358826
synth_texture_split,12,1.3016210794448853,0.4544861316680908,0.23546083271503448,0.7383236289024353,0.027734002098441124,0.06112808734178543
